strategy,strategy_label,concurrency,run_id,throughput,p99,median_latency,avg_latency,latency_stddev,latency_cv,errors,warmup_ops_per_client,measured_ops_per_client
thread_local,ThreadLocal,400,16,51693.20773096539,62328.0,3834.0,7636.760588888889,11423.368025135256,1.495839484840692,0,100,900
thread_local,ThreadLocal,400,17,76341.2528468907,45291.0,2722.0,5068.233108333333,9383.747733305321,1.8514830578483648,0,100,900
thread_local,ThreadLocal,400,18,49470.569007425795,69204.0,4028.0,7931.307277777778,12636.322657630166,1.5932206652786067,0,100,900
thread_local,ThreadLocal,400,19,51415.76829262246,64588.0,3785.0,7691.282991666667,13046.79977190875,1.6963099376325987,0,100,900
thread_local,ThreadLocal,400,20,61905.34018252458,57517.0,3429.0,6417.985516666667,10717.064723984427,1.6698486925770737,0,100,900
thread_local,ThreadLocal,400,21,41240.13988035013,83154.0,4477.0,9581.294747222222,15428.606629122942,1.6102841042016742,0,100,900
thread_local,ThreadLocal,400,22,64672.441535326005,58320.0,3132.0,5963.878186111111,11431.415369022465,1.9167754625914972,0,100,900
thread_local,ThreadLocal,400,23,45212.32933981795,69694.0,4193.0,8669.327252777777,13523.863717520864,1.5599669182159,0,100,900
thread_local,ThreadLocal,400,24,57390.541364699304,59782.0,3412.0,6734.441986111111,11476.18350567844,1.7041031059954987,0,100,900
thread_local,ThreadLocal,400,25,39154.63635697159,80902.0,4694.0,9793.077944444445,15219.532372691816,1.5541112262182868,0,100,900
thread_local,ThreadLocal,400,26,40793.291460816814,83658.0,4679.0,9724.436830555556,15795.687531342062,1.624329285754603,0,100,900
thread_local,ThreadLocal,400,27,61292.6035469902,61644.0,3282.0,6242.957916666666,11490.35160058768,1.8405300426440776,0,100,900
thread_local,ThreadLocal,400,28,31710.975598073954,101387.0,5989.0,12421.66751388889,18467.24268431868,1.4866959418830141,0,100,900
thread_local,ThreadLocal,400,29,53589.73507214377,66987.0,3486.0,7137.543883333334,12520.004907022447,1.7541054894608126,0,100,900
thread_local,ThreadLocal,400,30,39658.27274086022,85385.0,5037.0,9814.02425,15355.881140120757,1.5646875072802837,0,100,900
thread_local,ThreadLocal,500,1,31459.152846085526,129814.0,6315.0,14961.842513333333,41928.787064058124,2.802381259306335,0,100,900
thread_local,ThreadLocal,500,2,66858.02423692522,66697.0,3745.0,6990.838128888889,11587.764961831092,1.6575644791353266,0,100,900
thread_local,ThreadLocal,500,3,55741.986984576026,71412.0,4162.0,8708.339644444444,13912.1698601979,1.5975685869203875,0,100,900
thread_local,ThreadLocal,500,4,55475.27193377937,62728.0,4402.0,8662.950662222222,12316.787106847993,1.4217773582111672,0,100,900
thread_local,ThreadLocal,500,5,82350.83010163788,54614.0,3214.0,5938.680195555556,10555.09401326247,1.777346761518121,0,100,900
thread_local,ThreadLocal,500,6,57675.10930006119,63671.0,4433.0,8443.129946666666,12173.93670549089,1.441874847644284,0,100,900
thread_local,ThreadLocal,500,7,61244.838080897076,62878.0,3839.0,8088.120997777778,12146.026463175716,1.5017117655031191,0,100,900
thread_local,ThreadLocal,500,8,73843.56617370843,55117.0,3620.0,6639.505157777778,10351.054941673607,1.559010000850436,0,100,900
thread_local,ThreadLocal,500,9,61472.81172798793,64768.0,3764.0,7883.221008888889,12946.437342914802,1.642277608139716,0,100,900
thread_local,ThreadLocal,500,10,59735.317784838524,60534.0,4176.0,8187.341257777778,11847.730621220102,1.4470791247360115,0,100,900
thread_local,ThreadLocal,500,11,80933.62875906356,43592.0,3180.0,5975.195793333333,8909.107721232778,1.4910151950456385,0,100,900
thread_local,ThreadLocal,500,12,68635.54418918338,56575.0,3651.0,7210.434782222223,11113.342011512597,1.541285976112458,0,100,900
thread_local,ThreadLocal,500,13,54823.30764762972,74389.0,4252.0,8875.172373333333,14615.356965546833,1.6467688007345826,0,100,900
thread_local,ThreadLocal,500,14,54130.114179356344,68690.0,4122.0,8755.973568888889,14227.308976043329,1.624868881125316,0,100,900
thread_local,ThreadLocal,500,15,73689.75169398922,54909.0,3494.0,6695.800266666667,10399.840873749645,1.5531886346016919,0,100,900
thread_local,ThreadLocal,500,16,61797.35301560387,62768.0,3693.0,7850.184902222222,11969.36737275631,1.5247242608728915,0,100,900
thread_local,ThreadLocal,500,17,60054.904195245435,77818.0,3529.0,8167.698991111111,14640.998765672006,1.792548768215598,0,100,900
thread_local,ThreadLocal,500,18,70971.94208757722,67855.0,3081.0,6849.308235555555,13122.132351419501,1.9158332345595117,0,100,900
thread_local,ThreadLocal,500,19,59309.515332794486,72726.0,3591.0,8208.325875555556,13533.781335671116,1.6487870414568697,0,100,900
thread_local,ThreadLocal,500,20,59643.08912238017,62709.0,3762.0,8124.190244444444,12628.760536452637,1.5544639104295408,0,100,900
thread_local,ThreadLocal,500,21,84624.77199794503,54773.0,2902.0,5730.062722222222,9971.520600963055,1.7402114225192842,0,100,900
thread_local,ThreadLocal,500,22,72720.15399126727,63620.0,3097.0,6811.75844,12068.019711460302,1.7716452833374847,0,100,900
thread_local,ThreadLocal,500,23,57345.97902548108,69907.0,3713.0,8404.428926666667,13407.60151679073,1.5953019097168333,0,100,900
thread_local,ThreadLocal,500,24,59475.98092248436,66509.0,3782.0,8211.233935555556,12880.622640416022,1.568658589136219,0,100,900
thread_local,ThreadLocal,500,25,89610.40605292932,44488.0,2820.0,5392.750497777778,8569.098879701667,1.5890034006269687,0,100,900
thread_local,ThreadLocal,500,26,64646.35900662322,64366.0,3401.0,7671.465408888889,12511.269549752977,1.6308839162927373,0,100,900
thread_local,ThreadLocal,500,27,57538.028623002996,67883.0,3911.0,8512.646804444445,12945.234708456388,1.5207061923088003,0,100,900
thread_local,ThreadLocal,500,28,59335.63211553551,63835.0,3700.0,8259.504275555555,12636.860795282388,1.5299781165658881,0,100,900
thread_local,ThreadLocal,500,29,80906.43737833135,55635.0,2954.0,6015.270531111111,10212.428926253244,1.6977505622455944,0,100,900
thread_local,ThreadLocal,500,30,61687.65180624272,65510.0,3506.0,7962.120826666666,13207.530465563019,1.658795533638283,0,100,900
thread_local,ThreadLocal,600,1,69840.62148626862,71108.0,3657.0,8513.759455555555,14294.397407501448,1.6789759544091658,0,100,900
thread_local,ThreadLocal,600,2,58016.93600312948,80512.0,3991.0,10098.779133333333,16893.513498232158,1.6728273066663324,0,100,900
thread_local,ThreadLocal,600,3,58800.421051260346,83937.0,4161.0,9871.91701851852,16055.06860922718,1.6263374762074903,0,100,900
thread_local,ThreadLocal,600,4,67141.15222793385,72970.0,3855.0,8713.258283333333,14148.324910909965,1.6237697140199316,0,100,900
thread_local,ThreadLocal,600,5,79287.00281749667,64950.0,3307.0,7268.449253703704,12260.089121187368,1.686754449711557,0,100,900
thread_local,ThreadLocal,600,6,73677.60299680114,77627.0,3788.0,8071.341438888889,15142.215489697026,1.8760469501066632,0,100,900
thread_local,ThreadLocal,600,7,59333.36818253075,83718.0,3918.0,9771.490072222223,16628.536434650956,1.7017400940642116,0,100,900
thread_local,ThreadLocal,600,8,60895.23494275729,79571.0,3928.0,9622.202601851852,15269.339176211199,1.5868860600869619,0,100,900
thread_local,ThreadLocal,600,9,57578.16789415235,83606.0,3980.0,10126.286537037036,16361.554479056338,1.6157506919455342,0,100,900
thread_local,ThreadLocal,600,10,79677.71691469953,72965.0,3431.0,7284.153896296296,13487.843778628003,1.8516692495316496,0,100,900
thread_local,ThreadLocal,600,11,81046.41831895964,67943.0,3285.0,7115.522818518519,12969.227046414097,1.822666777578312,0,100,900
thread_local,ThreadLocal,600,12,58877.58390818935,91847.0,3933.0,9878.37912962963,17251.939282273062,1.7464342131318755,0,100,900
thread_local,ThreadLocal,600,13,58579.00089957353,83185.0,4025.0,9901.596892592592,16280.514504962326,1.644231196398413,0,100,900
thread_local,ThreadLocal,600,14,58978.17150735694,83837.0,4039.0,9805.766974074075,17378.66178349821,1.7722899013862419,0,100,900
thread_local,ThreadLocal,600,15,83201.64500523858,61361.0,3284.0,6881.065111111111,11894.679200291966,1.7286101799974523,0,100,900
thread_local,ThreadLocal,600,16,79013.78601181567,67770.0,3362.0,7415.136303703704,13364.768112703523,1.8023631077459903,0,100,900
